,HAZMAT,IS_WEEKEND,Vessel_size_category,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO,Predicted,Error,Absolute Error,Actual
846,0,1,2,29.0,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,70.50728962333936,4.259377043327305,4.259377043327305,74.76666666666667
429,1,1,2,31.58333333333333,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,85.32132089698639,2.99534576968027,2.99534576968027,88.31666666666666
754,1,0,2,13.5,24.482582582582584,4850,3,0.1111111111111111,0.036036036036036,467.3865866468697,-6.136586646869716,6.136586646869716,461.25
547,0,0,2,191.7,123.32713963963964,2937,4,0.3870967741935484,0.2364864864864864,197.4661402191223,-25.316140219122303,25.316140219122303,172.15
309,0,0,2,34.5,24.482582582582584,4850,3,0.2777777777777778,0.2297297297297297,293.1492898301972,-51.24928983019717,51.24928983019717,241.9
557,0,0,2,101.63333333333334,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,148.35731941822806,-36.57398608489474,36.57398608489474,111.78333333333332
905,0,0,2,23.666666666666668,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,41.10656194948573,1.7101047171809398,1.7101047171809398,42.81666666666667
558,0,0,2,101.63333333333334,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,148.35731941822806,-42.290652751561396,42.290652751561396,106.06666666666666
932,0,0,2,39.15,29.420617283950616,2088,1,1.0,1.0,60.49017240623564,-13.740172406235637,13.740172406235637,46.75
882,0,0,2,24.08333333333333,19.226530612244897,760,1,1.0,1.0,33.64407620436832,-7.760742871034985,7.760742871034985,25.883333333333333
481,0,0,2,30.9,29.420617283950616,2088,1,1.0,1.0,50.588507039058854,-1.071840372392188,1.071840372392188,49.516666666666666
944,0,0,2,15.5,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,84.0792595195264,59.30407381380692,59.30407381380692,143.38333333333333
835,0,1,2,20.4,19.226530612244897,760,1,1.0,1.0,45.99301343376904,12.256986566230957,12.256986566230957,58.25
228,0,0,0,97.35,117.2535460992908,1325,1,1.0,1.0,119.94112083833141,-32.04112083833141,32.04112083833141,87.9
692,1,0,0,62.16666666666666,123.32713963963964,2937,4,0.2258064516129032,0.0945945945945946,97.11706168465139,-19.217061684651384,19.217061684651384,77.9
706,0,1,2,165.91666666666666,123.32713963963964,2937,4,0.2258064516129032,0.0945945945945946,344.7632028755827,46.636797124417285,46.636797124417285,391.4
212,0,1,0,36.11666666666667,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,45.18283245079307,1.3838342158735983,1.3838342158735983,46.56666666666667
79,0,0,0,18.933333333333334,19.226530612244897,760,1,1.0,1.0,21.94409888144561,-4.177432214778943,4.177432214778943,17.766666666666666
148,0,0,2,20.5,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,32.67691870557173,-1.910252038905064,1.910252038905064,30.766666666666666
302,0,0,2,36.083333333333336,36.58333333333333,108,1,1.0,1.0,20.941944678612465,-1.5419446786124666,1.5419446786124666,19.4
625,1,0,2,43.18333333333333,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,176.2860274682149,0.7639725317851003,0.7639725317851003,177.05
316,0,0,2,34.5,24.482582582582584,4850,3,0.2777777777777778,0.2297297297297297,293.1492898301972,-20.782623163530502,20.782623163530502,272.3666666666667
449,0,0,2,27.25,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,86.45730265484995,-7.207302654849954,7.207302654849954,79.25
311,0,0,2,34.5,24.482582582582584,4850,3,0.2777777777777778,0.2297297297297297,293.1492898301972,-31.615956496863816,31.615956496863816,261.53333333333336
133,1,0,2,35.416666666666664,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,132.6047716360624,-24.0047716360624,24.0047716360624,108.6
531,0,1,2,106.46666666666668,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,97.19661210669342,-32.47994544002675,32.47994544002675,64.71666666666667
