SHIPMENTID,VESSEL,IMO,VOYAGE#,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,EQUIPMENTTYPECODE,HAZMAT,GROSS_WEIGHT,weight_uom
389852,HYUNDAI DREAM,9637222,039E,KAOHSIUNG,WILMINGTON,26-09-2020 03:21,01-10-2020 14:16,20ST,N,,
389853,HYUNDAI DREAM,9637222,039E,KAOHSIUNG,WILMINGTON,26-09-2020 03:21,01-10-2020 15:14,20ST,N,,
389854,MEISHAN BRIDGE,9805465,011E,KAOHSIUNG,NEW YORK,06-10-2020 20:42,07-10-2020 15:00,20ST,N,,
389855,MADRID BRIDGE,9805453,011E,KAOHSIUNG,CHARLESTON,06-10-2020 08:59,07-10-2020 10:52,20ST,N,,
389883,YM WIND,9708461,015E,KAOHSIUNG,NEW YORK,02-10-2020 11:44,02-10-2020 11:24,20ST,N,,
394881,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,11-10-2020 08:39,40ST,N,,
395906,YM UNANIMITY,9462718,051E,XIAMEN,LOS ANGELES,02-09-2020 17:44,16-09-2020 02:49,40HC,N,,
396958,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,10-10-2020 02:15,40ST,N,,
397515,ONE HONOLULU,9588079,209E,KAOHSIUNG,SAVANNAH,16-09-2020 07:45,18-09-2020 11:44,20ST,N,,
401226,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,14-10-2020 12:47,40HC,N,,
408645,HMM PROMISE,9742168,016W,VANCOUVER,SHANGHAI,28-09-2020 13:10,19-10-2020 23:44,40ST,N,,
412817,YM MOBILITY,9457737,051E,KAOHSIUNG,OAKLAND,31-08-2020 06:44,03-09-2020 19:44,40ST,N,,
415112,NAGOYA EXPRESS,9450428,060W,VANCOUVER,SHANGHAI,03-10-2020 14:30,04-10-2020 22:41,40ST,N,,
